house_price,listing_price,price_development,number_of_rooms,living_area,secondary_area,plot_area,year_built,operating_cost,sale_date,neighborhood,latitude,longitude,secondary_area_missing,month,year
5000000,5195000,-195000,5,134,83,612,1974,39250,2025-04-01,Almvik,55.5545067,13.0259590727825,0,4,2025
5850000,5795000,55000,5,136,0,498,1992,38518,2025-04-01,Bunkeflostrand,55.5558526,12.9136979,1,4,2025
11000000,11195000,-195000,7,165,8,552,1973,46556,2025-03-31,Limhamn,55.5828063,12.9367725,0,3,2025
6750000,6995000,-245000,6,145,15,316,1968,41509,2025-03-30,Djupadal,55.5736142,12.9647368023397,0,3,2025
5910000,5995000,-85000,5,156,10,370,2003,21162,2025-03-28,Kvarnby,55.58687315,13.1013893615262,0,3,2025
5850000,5495000,355000,4,126,31,546,2006,32280,2025-03-27,Kristineberg,57.7541695,12.0737787590589,0,3,2025
4195000,4195000,0,4,88,82,711,1961,29996,2025-03-26,Käglinge,55.5332117,13.0773490985896,0,3,2025
5195000,5195000,0,6,151,9,401,2006,44200,2025-03-26,Kristineberg,55.5412461,13.0762890635781,0,3,2025
6700000,6795000,-95000,7,192,30,384,1976,35783,2025-03-26,Bunkeflostrand,55.5486887,12.9165941,0,3,2025
4495000,4795000,-300000,6,117,0,646,1975,45800,2025-03-24,Kastanjegården,55.5532554,13.02218075,1,3,2025
6950000,6995000,-45000,6,157,0,521,2000,32700,2025-03-23,Klagshamn,55.5255101,12.9356560752879,1,3,2025
4450000,4795000,-345000,6,140,6,1640,1928,52399,2025-03-22,Oxie,55.5426139,13.0938637,0,3,2025
7000000,7285000,-285000,6,152,7,592,1969,34734,2025-03-21,Bunkeflostrand,55.56076135,12.9183741,0,3,2025
3210000,3495000,-285000,4,105,0,304,1972,38999,2025-03-20,Kyrkby,55.5468963,13.1029894083706,1,3,2025
6000000,5795000,205000,4,140,16,641,1955,45000,2025-03-20,Husie,55.5994596,13.0805156944635,0,3,2025
4225000,3695000,530000,4,106,0,542,1968,43310,2025-03-20,Husie,55.6044137,13.0879930045139,1,3,2025
5700000,5795000,-95000,5,127,0,1002,1986,34525,2025-03-20,Virentofta,60.56338945,17.45504595,1,3,2025
7650000,7695000,-45000,6,165,69,1234,2011,27756,2025-03-19,Kyrkby,55.5119289,12.9516588760656,0,3,2025
6525000,6795000,-270000,6,150,0,371,2003,51401,2025-03-19,Klagshamn,55.5220507,12.9377942965905,1,3,2025
3200000,2495000,705000,3,68,25,610,1910,31129,2025-03-19,Tygelsjö,55.63433925,13.1018402708631,0,3,2025
3500000,3495000,5000,6,130,0,304,1972,48362,2025-03-18,Kyrkby,55.5467679,13.1029297767664,1,3,2025
4300000,3995000,305000,5,134,83,744,1974,42840,2025-03-18,Kastanjegården,55.5545246,13.0255250272175,0,3,2025
4200000,4495000,-295000,6,144,134,376,1931,48948,2025-03-17,Söderkulla,55.574968,13.0168931,0,3,2025
9250000,9395000,-145000,8,208,0,385,2020,37000,2025-03-16,Bunkeflostrand,55.5457852,12.9201363,1,3,2025
5000000,5475000,-475000,6,160,0,607,2009,58200,2025-03-14,Hindby,55.57683915,13.0376044103224,1,3,2025
5000000,4695000,305000,6,136,0,395,2008,42409,2025-03-13,Käglinge,55.53585945,13.0745920270917,1,3,2025
7200000,6995000,205000,6,145,10,398,2008,35718,2025-03-13,Bunkeflostrand,55.5518738,12.9299077,0,3,2025
4150000,4295000,-145000,4,105,57,634,1927,35457,2025-03-09,Höja,55.5839696,13.06351605,0,3,2025
5270000,5250000,20000,5,123,56,410,1931,57191,2025-03-07,Kulladal,55.57100235,12.9926928590722,0,3,2025
8350000,8195000,155000,6,170,0,711,2008,43000,2025-03-07,Husie,55.58973625,13.1097796847621,1,3,2025
