house_price,number_of_rooms,living_area,secondary_area,plot_area,year_built,operating_cost,sale_date,neighborhood,latitude,longitude,secondary_area_missing,month,year
5000000,5,134,83,612,1974,39250,2025-04-01,Almvik,55.5545067,13.0259590727825,0,4,2025
11000000,7,165,8,552,1973,46556,2025-03-31,Limhamn,55.5828063,12.9367725,0,3,2025
6950000,6,157,0,521,2000,32700,2025-03-23,Klagshamn,55.5255101,12.9356560752879,1,3,2025
7200000,6,145,10,398,2008,35718,2025-03-13,Bunkeflostrand,55.5518738,12.9299077,0,3,2025
4050000,4,121,0,510,1976,34923,2025-03-06,Tygelsjö,59.631772,16.5617079,1,3,2025
4000000,5,86,62,754,1945,39422,2025-02-28,Videdal,55.592211,13.06083425,0,2,2025
5200000,4,128,125,646,1967,56636,2025-02-27,Husie,65.5951501,22.2079517430037,0,2,2025
4775000,6,142,0,398,1979,48623,2025-02-19,Oxie,55.5444448,13.0729986932174,1,2,2025
4300000,5,102,15,779,1928,15839,2025-02-19,Bunkeflostrand,55.5618469,12.919724387769,0,2,2025
8500000,7,194,50,746,1992,49318,2025-02-14,Bunkeflostrand,55.56111435,12.915713213788,0,2,2025
5300000,4,119,119,625,1974,44400,2025-02-14,Tygelsjö,55.5139123,13.0043263,0,2,2025
3740000,5,125,35,461,1965,56503,2025-02-05,Videdal,55.5912154,13.0680040819874,0,2,2025
7295000,6,150,0,684,2017,48518,2025-02-03,Klagshamn,58.1994041,16.5863394,1,2,2025
5800000,5,130,0,257,2017,23600,2025-01-30,Bunkeflostrand,55.5544564173096,12.9325565954501,1,1,2025
6650000,4,127,0,513,2003,44990,2025-01-22,Bunkeflostrand,55.5525589,12.9272936,1,1,2025
4850000,4,125,102,840,1961,33401,2025-01-10,Virentofta,55.5904628,13.0752389,0,1,2025
4900000,6,158,0,849,1986,42017,2024-12-20,Käglinge,55.6361208,13.0801035525588,1,12,2024
5900000,6,121,200,965,1971,39037,2024-12-10,Tygelsjö,55.5169132,13.0044825,0,12,2024
5900000,6,100,27,487,1909,28367,2024-12-09,Sibbarp,55.5686005,12.9188947,0,12,2024
12500000,6,243,119,892,1943,77602,2024-12-08,Sjösida,55.5921541,12.950877361814,0,12,2024
8750000,7,133,49,655,1937,35464,2024-12-06,Rosenvång,55.5830851,12.9552456,0,12,2024
4750000,4,115,13,363,1970,38180,2024-12-04,Bunkeflostrand,59.27517945,17.97477665,0,12,2024
3387500,5,127,21,424,1976,66028,2024-11-28,Kyrkby,55.54965965,13.0941191,0,11,2024
9850000,12,289,137,726,1950,18640,2024-11-26,Rosenvång,55.5794643,12.9581168438531,0,11,2024
9800000,9,248,20,762,2012,26902,2024-11-23,Bunkeflostrand,55.402194,12.9868812,0,11,2024
5050000,5,103,103,583,1963,48485,2024-11-14,Videdal,55.59346935,13.0652668867941,0,11,2024
5500000,4,138,12,525,1972,44000,2024-11-14,Kulladal,55.5692143,12.9925858,0,11,2024
10000000,6,145,70,895,1921,51310,2024-11-14,Limhamn,55.5843662,12.9481931052292,0,11,2024
5425000,7,210,69,1012,1995,17993,2024-11-01,Käglinge,55.53299455,13.0881664194847,0,11,2024
4500000,6,170,85,666,1943,43000,2024-10-23,Rosengård,55.57836975,13.0449818162231,0,10,2024
3150000,6,130,0,503,1972,38887,2024-10-21,Kyrkby,55.54622825,13.1048658954334,1,10,2024
4450000,5,122,68,807,1937,38745,2024-10-19,Kattarp,55.57881145,13.03954255,0,10,2024
5250000,5,160,0,741,1992,51842,2024-10-11,Stenkällan,55.58428315,13.070501005209,1,10,2024
7100000,5,155,5,389,1967,49237,2024-10-11,Djupadal,55.57035435,12.9662830672733,0,10,2024
9800000,5,138,58,888,1939,62670,2024-09-27,Bellevue,59.278969,18.0434759,0,9,2024
5250000,7,91,114,830,1963,46000,2024-09-16,Käglinge,55.53377705,13.07833135,0,9,2024
6540000,5,145,0,329,2006,38600,2024-09-14,Bunkeflostrand,55.5499082,12.9269026,1,9,2024
6450000,6,154,0,722,2006,33077,2024-09-13,Bunkeflostrand,55.5499569,12.9245225,1,9,2024
3235000,4,98,98,741,1969,19629,2024-09-10,Oxie,55.54418625,13.1020821824138,0,9,2024
3600000,6,117,52,313,1973,45075,2024-09-10,Oxie,55.5432238,13.1022510217668,0,9,2024
6950000,6,207,57,794,1999,48200,2024-09-10,Husie,55.5873876,13.099859585415,0,9,2024
4550000,5,104,38,633,1935,47800,2024-09-07,Husie,55.5863159,13.0859913,0,9,2024
