slutpris,utgangspris,prisutv,antal_rum,boarea,biarea,tomtarea,byggar,driftkostnad,sälj_datum,område,latitude,longitude
5000000,5195000,-195000,5,134,83,612,1974,39250,1 april 2025,Almvik,55.5545067,13.0259590727825
5850000,5795000,55000,5,136,NA,498,1992,38518,1 april 2025,Bunkeflostrand,55.5558526,12.9136979
11000000,11195000,-195000,7,165,8,552,1973,46556,31 mars 2025,Limhamn,55.5828063,12.9367725
6750000,6995000,-245000,6,145,15,316,1968,41509,30 mars 2025,Djupadal,55.5736142,12.9647368023397
5910000,5995000,-85000,5,156,10,370,2003,21162,28 mars 2025,Kvarnby,55.58687315,13.1013893615262
5700000,5995000,-295000,5,156,31,378,2003,NA,28 mars 2025,Kvarnby,55.5869919,13.1012876102625
5850000,5495000,355000,4,126,31,546,2006,32280,27 mars 2025,Kristineberg,57.7541695,12.0737787590589
4195000,4195000,0,4,88,82,711,1961,29996,26 mars 2025,Käglinge,55.5332117,13.0773490985896
5195000,5195000,0,6,151,9,401,2006,44200,26 mars 2025,Kristineberg,55.5412461,13.0762890635781
6700000,6795000,-95000,7,192,30,384,1976,35783,26 mars 2025,Bunkeflostrand,55.5486887,12.9165941
4495000,4795000,-300000,6,117,NA,646,1975,45800,24 mars 2025,Kastanjegården,55.5532554,13.02218075
6950000,6995000,-45000,6,157,NA,521,2000,32700,23 mars 2025,Klagshamn,55.5255101,12.9356560752879
4450000,4795000,-345000,6,140,6,1640,1928,52399,22 mars 2025,Oxie,55.5426139,13.0938637
7000000,7285000,-285000,6,152,7,592,1969,34734,21 mars 2025,Bunkeflostrand,55.56076135,12.9183741
3210000,3495000,-285000,4,105,NA,304,1972,38999,20 mars 2025,Kyrkby,55.5468963,13.1029894083706
6000000,5795000,205000,4,140,16,641,1955,45000,20 mars 2025,Husie,55.5994596,13.0805156944635
4225000,3695000,530000,4,106,NA,542,1968,43310,20 mars 2025,Husie,55.6044137,13.0879930045139
5700000,5795000,-95000,5,127,NA,1002,1986,34525,20 mars 2025,Virentofta,60.56338945,17.45504595
7650000,7695000,-45000,6,165,69,1234,2011,27756,19 mars 2025,By,55.5119289,12.9516588760656
6525000,6795000,-270000,6,150,NA,371,2003,51401,19 mars 2025,Klagshamn,55.5220507,12.9377942965905
3200000,2495000,705000,3,68,25,610,1910,31129,19 mars 2025,Tygelsjö,55.63433925,13.1018402708631
3500000,3495000,5000,6,130,NA,304,1972,48362,18 mars 2025,Kyrkby,55.5467679,13.1029297767664
4300000,3995000,305000,5,134,83,744,1974,42840,18 mars 2025,Kastanjegården,55.5545246,13.0255250272175
4200000,4495000,-295000,6,144,134,376,1931,48948,17 mars 2025,Söderkulla,55.574968,13.0168931
9250000,9395000,-145000,8,208,NA,385,2020,37000,16 mars 2025,Bunkeflostrand,55.5457852,12.9201363
5000000,5475000,-475000,6,160,NA,607,2009,58200,14 mars 2025,Hindby,55.57683915,13.0376044103224
4230000,4750000,-520000,NA,150,80,506,1928,49923,14 mars 2025,Hindby,55.57664055,13.04108295
12700000,11990000,710000,9,355,155,1594,1923,NA,13 mars 2025,Bellevue,55.5868249,12.95398195
5000000,4695000,305000,6,136,NA,395,2008,42409,13 mars 2025,Käglinge,55.53585945,13.0745920270917
